stadium_id,stadium_name,zip_code,stadium_address
aAPHr0LqEdIMWsIjiBau-w,Blair Field,90804,"['4700 Deukmejian Dr', 'Long Beach, CA 90804']"
l-Y_cpvBGdYoGwfDSQT8gw,Kare Youth League,91724,"['735 N Glendora Ave', 'Covina, CA 91724']"
VnsrMkVN2w-dEahJ-xkxiw,Walter Pyramid,90840,"['1250 N Bellflower Blvd', 'Long Beach, CA 90840']"
tKStKc9LX9L5T3tRRmto2Q,Arbor Park Soccer Field,90720,"['4665 Lampson Ave', 'Los Alamitos, CA 90720']"
izdEEC6v4BrhEAIzc-jcMw,Los Alamitos Race Course,90720,"['4961 Katella Ave', 'Los Alamitos, CA 90720']"
PWXAsiFTico7Kq7loKIzXw,Starlight West Grove Cinemas,92845,"['12111 Valley View St', 'Garden Grove, CA 92845']"
qTTiOz1AJQhtyG3_0tVy3A,Long Beach Oktoberfest,90815,"['7550 E Spring St', 'Long Beach, CA 90815']"
Oz99R0EYxu7PGwUe1RGTXg,Catalina Casino,90704,"['1 Casino Way', 'Avalon, CA 90704']"
cxnxMWEYx84-42tkQYStLw,Catalina Museum,90704,"['217 Metropole Ave', 'Avalon, CA 90704']"
6M99-iX195yA-acSFbz_Zw,Wrigley Memorial & Botanic Garden,90704,"['1400 Avalon Canyon Rd', 'Avalon, CA 90704']"
4Uke1jraGNxoGqeB55SLtQ,AMC Marina Pacifica 12,90803,"['6346 E. Pacific Coast Hwy', 'Long Beach, CA 90803']"
Ub7zNyYpFylb10mw_C9qeQ,Coast Tickets,90806,"['2750 E Spring St', 'Ste 205', 'Long Beach, CA 90806']"
UbzQrgm1TwmHZRspcPxtuA,Warner Grand Theatre,90731,"['478 W 6th St', 'San Pedro, CA 90731']"
mkRXiuuFp06CiDlIov0y6g,Long Beach Comic Expo,90802,"['300 E Ocean Blvd', 'Long Beach Convention Center', 'Long Beach, CA 90802']"
H_j089ZWRIIA90usua2q1Q,Congregation Ale House,90802,"['201 E Broadway Ave', 'Long Beach, CA 90802']"
RIw1aOsM6Bexxpdeg3FaFg,Fred Hall Show,90802,"['300 E Ocean Blvd', 'Long Beach, CA 90802']"
zHHLlzwjb4bfMYXAt3rG-w,Century Huntington Beach and XD,92647,"['7777 Edinger Ave', 'Ste 170', 'Huntington Beach, CA 92647']"
jEhjD6pXI4x-ZX2-O5LzKg,Regency Westminster 10,92683,"['6721 Westminster Blvd', 'Westminster, CA 92683']"
zQMplpP_VZ4tW-u-UHbKHA,Earl Burns Miller Japanese Garden,90840,"['1250 N Bellflower Blvd', 'Long Beach, CA 90840']"
5xcl6MzmFOe0bKFVvO6Y3g,Patchwork Indie Arts & Crafts Festival,90803,"['5225 E Paoli Way', 'Long Beach, CA 90803']"
8bveHCK-gGcpIQtdwXRicg,Cypress College Theater,90630,"['9200 Valley View St', 'Fine Arts Building', 'Cypress, CA 90630']"
KJa1HU9oTUlmwaXsx6xVPw,Cinemark Carson and XD,90746,"['20700 S Avalon Blvd', 'Ste 285', 'Carson, CA 90746']"
jwgST8mVYCxkH1QN9yPCIQ,Art Theatre,90814,"['2025 E 4th St', 'Long Beach, CA 90814']"
TB3wwBI5k1nBy-mPcnIeXw,Long Beach Beer Festival,90803,"['5411 E Ocean Blvd', 'Long Beach, CA 90803']"
b4HCPnIIEUntmsyA4lfCdA,Long Beach Playhouse: Mainstage & Studio Theatres,90804,"['5021 E Anaheim St', 'Long Beach, CA 90804']"
03Wxewy211WY-HIer90tEw,Carpenter Performing Arts Center,90815,"['6200 E Atherton St', 'Long Beach, CA 90815']"
cNo9ryzQqLAjBIarwE7Cww,Leisure World Amphitheater,90740,"['13564 St Andrews Dr', 'Seal Beach, CA 90740']"
l1flppfuwkFm6URNlMZv9w,Santa Anita Park,91007,"['285 W Huntington Dr', 'Arcadia, CA 91007']"
REYoF_zk6hRyZp4F01ISJA,SC Tickets,91106,"['80 N Hill Ave', 'Pasadena, CA 91106']"
HPHe2RW8jHIJYdZxZTLvMA,AMC Santa Anita 16,91007,"['400 South Baldwin Avenue', 'Ste 940-U', 'Arcadia, CA 91007']"
iY1sa6KDfSDg4yHwwGonrA,Regency Academy Cinemas,91106,"['1003 E Colorado Blvd', 'Pasadena, CA 91106']"
NkKmv-2CUO9lqXwLm6OFPQ,Rose Parade Bandfest,91106,"['1570 E Colorado', 'Pasadena City College', 'Pasadena, CA 91106']"
XriCsvVTMO8aj0mIqSn8ng,La Street Food Fest,91007,"['285 Huntington Drive', 'Arcadia, CA 91007']"
Z1BhSbnw8e9EyV1xI8dTOA,Descanso Gardens,91011,"['1418 Descanso Dr', 'La Canada Flintridge, CA 91011']"
PofDBxW33wL8O2u1mtur3g,Pasadena High School Football Field,91107,"['2564-2622 Cooley Pl', 'Pasadena, CA 91107']"
-5gx0eMz0vRzyPvppSdkew,Lojeski Field,91006,"['601 N 2nd Ave', 'Arcadia, CA 91006']"
JlHxDQi7Bx7sTTvN81I5WQ,Run Mt. SAC,91789,"['1100 N Grand Ave', 'Mt. San Antonio College', 'Walnut, CA 91789']"
_FH78r6ndFP7sWvae9c5sg,Irwindale Speedway,91706,"['500 Speedway Dr', 'Irwindale, CA 91706']"
qCHNP2suFAsLOUkvcF6QCQ,Hilmer Lodge Stadiun,91789,"['1100 N Grand Ave', 'Mt San Antonio College', 'Walnut, CA 91789']"
JHRJ00WDDLKDBueaQ4o_xg,TicketGiant,91723,"['750 Terrado Pl', 'Ste 202', 'Covina, CA 91723']"
VdJ2zOUrc0rU-3LUGm_Cgw,Arcadia Performing Arts Center,91007,"['188 Campus Dr', 'Arcadia, CA 91007']"
H4fMj1t-oqyt6ocU5jxx7Q,626 Night Market,91007,"['285 W Huntington Dr', 'Arcadia, CA 91007']"
gXQmIxqiictxBDW_8MJnjQ,A Noise Within,91107,"['3352 E Foothill Blvd', 'Pasadena, CA 91107']"
zMGNkNAHAjuRs4i34AFqAw,Boston Court Pasadena,91106,"['70 N Mentor Ave', 'Pasadena, CA 91106']"
ml-ElazgGpcUBzQTGsuW9Q,Look Dine-In Cinemas - Monrovia,91016,"['410 S Myrtle Ave', 'Monrovia, CA 91016']"
Bjzy3qi0BgvQ7AqZHzIQoQ,Regal Edwards La Verne,91750,"['1950 East Foothill Blvd', 'La Verne, CA 91750']"
K31z6j1TsrwaNyTvyvXIsw,Foothill Cinema 10,91702,"['854 E Alosta Ave', 'Azusa, CA 91702']"
h4NSyU60FGvvnUq2la1Mdg,AMC Covina 17,91722,"['1414 North Azusa Avenue', 'Covina, CA 91722']"
N6wVjCmgjbNkIZwhMlu7qA,Regal Edwards West Covina,91790,"['1200 Lakes Dr', 'West Covina, CA 91790']"
