zip_code,place_name,population,median_income,median_unit_price,num_traderjoes,num_stadiums,num_coffee,longitude,latitude
91103,Pasadena,27167,78513.0,705.0197405527355,0.0,13.0,5.0,-118.1551,34.1669
91104,Pasadena,35918,93856.0,696.0120391271632,0.0,0.0,2.0,-118.1261,34.1678
91105,Pasadena,12692,163253.0,750.3945481391097,1.0,1.0,6.0,-118.1636,34.1355
91106,Pasadena,23813,91220.0,629.0148120665544,0.0,5.0,5.0,-118.1266,34.1435
91107,Pasadena,32581,120822.0,659.2341250605914,2.0,4.0,3.0,-118.0889,34.151
91108,San Marino,12559,173312.0,928.7821720025111,0.0,0.0,3.0,-118.1117,34.1207
91125,Pasadena (CalTech),996,0.0,0.0,0.0,0.0,0.0,-118.2987,33.7866
91201,Glendale,22163,67102.0,741.867885691612,0.0,0.0,8.0,-118.2899,34.1716
91202,Glendale,22831,90232.0,633.9370829361296,0.0,0.0,2.0,-118.2656,34.1652
91203,Glendale,16679,70650.0,625.7449344457688,0.0,2.0,11.0,-118.2636,34.1517
91204,Glendale (Tropico),18445,69102.0,603.570141641489,0.0,0.0,3.0,-118.2599,34.1379
91205,Glendale (Tropico),35755,58290.0,607.2463768115942,0.0,0.0,5.0,-118.2424,34.1378
91206,Glendale,32294,85651.0,599.9580372773144,0.0,0.0,4.0,-118.2322,34.1556
91207,Glendale,11091,106984.0,703.2532119401335,1.0,0.0,0.0,-118.2451,34.1649
91208,Glendale,15377,112485.0,658.3413056650887,0.0,0.0,4.0,-118.235,34.1921
91210,"Glendale (Glendale Galleria, Americana at Brand)",310,0.0,961.1449596303819,0.0,0.0,8.0,-118.2987,33.7866
91214,"Glendale, La Crescenta, Montrose",32344,126175.0,735.6948228882834,0.0,0.0,9.0,-118.2457,34.2316
91301,"Agoura Hills, Cornell",25244,157582.0,533.7782594180673,1.0,3.0,6.0,-118.7573,34.1227
91302,"Calabasas, Hidden Hills, Monte Nido",26318,172651.0,643.8515081206497,1.0,5.0,6.0,-118.6641,34.1419
91303,Los Angeles (Canoga Park),30611,77437.0,517.7086419477037,0.0,1.0,6.0,-118.5983,34.1993
91304,"Los Angeles (Canoga Park, West Hills), Box Canyon",54369,79673.0,463.03628462125874,0.0,0.0,1.0,-118.6111,34.2197
91306,Los Angeles (Winnetka),49460,82380.0,462.9614197530864,0.0,0.0,11.0,-118.5749,34.2092
91307,"Los Angeles (West Hills), Bell Canyon",25368,130877.0,543.75,1.0,1.0,0.0,-118.6389,34.1963
91311,Los Angeles (Chatsworth),40196,112172.0,427.1011465430928,1.0,2.0,4.0,-118.5914,34.2583
91316,Los Angeles (Encino),28497,85354.0,526.3761467889908,1.0,3.0,4.0,-118.5175,34.1655
91321,Santa Clarita (Newhall),34305,84503.0,406.15396501527295,0.0,2.0,10.0,-118.523,34.3795
91324,Los Angeles (Northridge),29744,100086.0,489.11860718171926,0.0,2.0,15.0,-118.5466,34.2367
91325,Los Angeles (Northridge),35537,83853.0,492.2945205479452,1.0,0.0,3.0,-118.5188,34.2353
91326,"Los Angeles (Northridge, Porter Ranch)",36503,142170.0,489.5097902097902,0.0,1.0,5.0,-118.5576,34.2805
91330,Los Angeles (California State Univ Northridge),2699,0.0,0.0,0.0,3.0,0.0,-118.2987,33.7866
91331,"Los Angeles (Arleta, Hansen Hills, Pacoima)",99804,76942.0,456.46067415730334,0.0,0.0,6.0,-118.4208,34.2556
91335,Los Angeles (Reseda),77158,74632.0,510.98807495741056,0.0,0.0,4.0,-118.5391,34.2007
91340,"San Fernando, Los Angeles (Mission Hills, Pacoima)",34822,71664.0,503.36095486638965,0.0,0.0,11.0,-118.4352,34.2875
91342,"Los Angeles (Lake View Terrace, Sylmar), Kagel Canyon",92580,89264.0,434.02777777777777,0.0,0.0,7.0,-118.4322,34.3054
91343,Los Angeles (North Hills),63193,77790.0,472.290861982103,0.0,0.0,3.0,-118.4758,34.2366
91344,Los Angeles (Granada Hills),53862,111897.0,508.2102497871965,1.0,1.0,8.0,-118.4992,34.2771
91345,Los Angeles (Mission Hills),18481,93622.0,465.65762581398644,0.0,0.0,4.0,-118.4587,34.2619
91350,"Bouquet Canyon, Green Valley, Mint Canyon, Santa Clarita (Canyon County)",42970,137626.0,415.46824313834435,1.0,1.0,3.0,-118.5007,34.4336
91351,Santa Clarita (Canyon Country),32677,104214.0,429.9135405839554,0.0,1.0,3.0,-118.449,34.4262
91352,"Los Angeles (La Tuna Canyon, Sun Valley)",45601,68132.0,526.7267267267267,0.0,0.0,3.0,-118.3699,34.2209
91354,Santa Clarita (Valencia),33039,145442.0,442.5837320574163,0.0,0.0,2.0,-118.5374,34.4466
91355,Santa Clarita (Valencia),30289,109752.0,474.38882421420254,0.0,1.0,11.0,-118.5535,34.3985
91356,Los Angeles (Tarzana),30599,105513.0,507.6297049847406,0.0,1.0,4.0,-118.5414,34.1671
91361,Westlake Village,18753,127304.0,668.1375166060366,0.0,0.0,3.0,-118.8383,34.1472
91362,Westlake Village,36770,135998.0,523.1862378459238,1.0,1.0,9.0,-118.8232,34.1948
91364,Los Angeles (Woodland Hills),28765,128306.0,599.3282149712093,1.0,0.0,4.0,-118.6,34.1557
91367,Los Angeles (Woodland Hills),44862,106355.0,569.8184888138455,0.0,1.0,10.0,-118.6159,34.1767
91381,Stevenson Ranch,20864,148873.0,435.32338308457713,0.0,0.0,1.0,-118.6131,34.3775
91384,"Castaic, Val Verde",27652,127416.0,389.9560438534616,0.0,0.0,2.0,-118.6254,34.4827
91387,"Santa Clarita (Canyon Country), Fair Oaks Ranch, Mint Canyon",46812,111090.0,407.2759538598048,1.0,0.0,0.0,-118.426,34.4132
91390,"Agua Dulce, Green Valley, Santa Clarita (Saugus)",18930,145465.0,396.8253968253968,0.0,0.0,0.0,-118.5261,34.4684
91401,"Los Angeles (Valley Glen, Van Nuys)",39179,72476.0,610.1285347043702,0.0,0.0,5.0,-118.4324,34.1802
91402,Los Angeles (Panorama City),67937,55130.0,428.0510018214936,0.0,1.0,7.0,-118.447,34.2262
91403,"Los Angeles (Sherman Oaks, Van Nuys)",25887,107970.0,650.7246376811594,0.0,2.0,9.0,-118.4603,34.1514
91405,Los Angeles (Valley Glen),55451,58365.0,475.8576874205845,0.0,0.0,4.0,-118.4456,34.2001
91406,"Los Angeles (Lake Balboa, Van Nuys)",53276,71819.0,544.980443285528,0.0,0.0,7.0,-118.4868,34.2006
91411,Los Angeles (Van Nuys),23689,73669.0,665.8743628950051,0.0,0.0,4.0,-118.4574,34.1781
91423,"Los Angeles (Sherman Oaks, Van Nuys)",31787,104205.0,710.2954545249102,2.0,2.0,8.0,-118.4322,34.1526
91436,Los Angeles (Encino),16190,155346.0,810.2533883323512,0.0,0.0,3.0,-118.4882,34.151
91501,Burbank,18951,80198.0,639.8779247202441,0.0,2.0,0.0,-118.3009,34.1862
91502,Burbank,12312,59711.0,574.0157480314961,1.0,2.0,5.0,-118.3059,34.1745
91504,Burbank (Glenoaks),27479,99318.0,698.6788617886178,0.0,1.0,4.0,-118.3264,34.2001
91505,Burbank,32156,104361.0,718.1114369501465,0.0,2.0,12.0,-118.3442,34.169
91506,Burbank,19559,104009.0,756.357670221493,0.0,1.0,6.0,-118.3231,34.1717
91601,"Los Angeles (North Hollywood, Toluca Terrace)",35615,73735.0,601.4336471996323,0.0,7.0,10.0,-118.3713,34.1687
91602,"Los Angeles (North Hollywood, Studio City, Toluca Lake, West Toluca Lake)",19980,93210.0,629.1773778920309,1.0,0.0,3.0,-118.3663,34.151
91604,"Los Angeles (North Hollywood, Studio City)",32073,132494.0,708.105000238854,1.0,1.0,14.0,-118.3913,34.143
91605,Los Angeles (North Hollywood),51654,61031.0,496.313672922252,0.0,1.0,3.0,-118.4001,34.2057
91606,"Los Angeles (North Hollywood, Valley Glen)",43552,64976.0,562.7955718994722,1.0,3.0,2.0,-118.3865,34.1872
